text,emotions,emotion_encoded,cleaned_text
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy,2,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future briefs
i think feelings are one of nay the most important things we have,joy,2,think feelings one nay important things
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy,2,feel completely honored influence young talented fully alive beautiful girl woman
i feel angered and firey,anger,0,feel angered firey
i feel like a miserable piece of garbage,sadness,4,feel like miserable piece garbage
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,0,feel like need make list leanne would appalled thought dont miss anything
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger,0,drove dannika school feeling little bit rushed greeted turned corner
i remember feeling so hellip furious with the shooter,anger,0,remember feeling hellip furious shooter
i feel very happy and excited since i learned so many things,joy,2,feel happy excited since learned many things
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,2,feel shows around show horses people trusting relaxed show horses safe quiet handled frequently
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,2,couple things left make start december done feeling smug
i think about how u could make me feel and realize that everything will be ok,joy,2,think u could make feel realize everything ok
i feel so worthless during those times i was struggling finding work,sadness,4,feel worthless times struggling finding work
i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear,1,able lay bed dark feel terrified least
i was ready to meet mom in the airport and feel her ever supportive arms around me,love,3,ready meet mom airport feel ever supportive arms around
im feeling bitter today my mood has been strange the entire day so i guess its that,anger,0,im feeling bitter today mood strange entire day guess
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,4,mums brother passed away involved car accident bringing present passed form five exams flying colours
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,0,letting go animosity towards anyone feel wronged
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love,3,talk dogs feel cannot understand words read emotions know supportive decided go home
i feel like throwing away the shitty piece of shit paper,sadness,4,feel like throwing away shitty piece shit paper
im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy,2,im starting feel wryly amused banal comedy errors life turning
i find every body beautiful and only want people to feel vital in their bodies,joy,2,find every body beautiful want people feel vital bodies
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness,4,hear owners feel victimized associations associations attorneys property manager
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,0,say goodbye fam theyre sad crying feel like heartless bitch hey im pretty excited flying first time know also spend year another country
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,love,3,wont let child cry feel loving lily little going opportunities lasted short months
i alba i feel good and im fitting in,joy,2,alba feel good im fitting
i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,2,feel excited im feel like ton catching
i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,2,also know good feels look back see honored word helps start
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness,4,mean really really hard works obtain high technical skill wushu feel kinda ashamed somehow motivated saw kids wushu performances whole heartedly despite tiredness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,joy,2,feel like things getting little overwhelming spritz toner really helps calm soothe
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,joy,2,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,joy,2,feeling festive today even going put tree soon finished catching week goings ons coronation street
finding out that i am not ill not seriously,joy,2,finding ill seriously
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness,4,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost crying finished grappling
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,joy,2,feel rarely advances worthwhile cause always stick rule posting anything online wouldnt prepared say somebodys face
i am feeling all useful,joy,2,feeling useful
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,love,3,feel like pains cannot imagine becoming passionate group idea causing pain
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness,4,feel ugly inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely bother buy new pair
im not feeling homesick yet so im feeling alright about this,sadness,4,im feeling homesick yet im feeling alright
i dance i should feel pretty,joy,2,dance feel pretty
i workout every morning before and feel fabulous for it,joy,2,workout every morning feel fabulous
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness,4,feel eyes touch words eyes know assuredly return love know shall vain
i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,2,feeling fabulous friday morning started get awful cramps work
i feel honoured to have been able to call them friends to share their brotherhood,joy,2,feel honoured able call friends share brotherhood
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,1,begun feel apprehensive thick black rain clouds stormed sky town
i had stated to her the reason i feel so fearful is because i feel unsafe,fear,1,stated reason feel fearful feel unsafe
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear,1,feel like getting shaken tsa quite yet pulled side creative croissants lunch
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness,4,get groups feel really awkward overcompensate talkative getting really quiet
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,love,3,excited finally meet companion companion times especially lonely lonely companion never disappoint companion put arms around make feel loved
i feel they are pretty safe on my blog img src http s,joy,2,feel pretty safe blog img src http
i feel pretty eager to get it done as i have a fun plan for quilting it,joy,2,feel pretty eager get done fun plan quilting
i am feeling horny so i ask her that lets go home,love,3,feeling horny ask lets go home
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,1,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,surprise,5,feel stranger strange land raising son place father ancestral home
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy,2,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,joy,2,feel energetic bouncy happy go gym run around outside kids take pram long walk often three one day
i was still feeling strong,joy,2,still feeling strong
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,joy,2,burst tears devastating release feelings thoughts seemed know rich also go space without dumping
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger,0,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear,1,suppose feels badly bit skeptical pain last months shes hyperchondria exaggeration habit past though never openly questioned
i clench to the corners of the bed to feel assured,joy,2,clench corners bed feel assured
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger,0,also feel like selfish grateful life amazing things
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,love,3,called god seen god book figured god right name feeling utterly affirmed accepted without question
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger,0,know perhaps girls office nice short hair perhaps feeling rebellious
i do not feel miserable at all because my family is not the type that celebrates eid,sadness,4,feel miserable family type celebrates eid
i might go get a car wash if i am feeling really generous my car needs it,joy,2,might go get car wash feeling really generous car needs
i still feel sleep deprived she is almost sleeping through the night giving us,sadness,4,still feel sleep deprived almost sleeping night giving us
i just feel really violent right now,anger,0,feel really violent right
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy,2,bloging sitting feeling content dogs amp cat etc know lucky truth
i started feeling funny and then friday i woke up sick as a dog,surprise,5,started feeling funny friday woke sick dog
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness,4,feel need protect parents witch hunt repressed memory therapy
i feel disgusted to even be associated with this woman by my race and nationality,anger,0,feel disgusted even associated woman race nationality
i laughed then bitterly again but i wasnt feeling bitter,anger,0,laughed bitterly wasnt feeling bitter
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,sadness,4,know feeling thought wished could us us knew however much hated first experience would remember forever
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy,2,feeling quite mellow wanted soft easy look wear beginning cold
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear,1,told maybe need time think ive feeling indecisive things lately
i still feel it does the genre a disservice when stories are resolved artifically,joy,2,still feel genre disservice stories resolved artifically
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,joy,2,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear,1,remember feeling really terrified brazil bus going steep mountain hills side mountain middle big storm wondering going fall
i could feel her whimper to the thought of being unloved and uncared for,sadness,4,could feel whimper thought unloved uncared
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,surprise,5,im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show
im sorry that there wasnt more humor in this post but im not feeling all that funny,surprise,5,im sorry wasnt humor post im feeling funny
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy,2,feel ive got foot door fantastic world walking running trails fells mountains
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger,0,say whatever comes mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love
i feel strange coming back to work after my one day holiday,fear,1,feel strange coming back work one day holiday
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,0,im clearly influenced dash happiness emily dickinson example use dashes instead colons semi colons enhance feelings rushed enjambment sonnet
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness,4,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girls
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger,0,could claim redeem genre leave feeling entirely frustrated point beating head wall either
i feel so sad and hopeless,sadness,4,feel sad hopeless
im getting the feeling that my classes are a little intimidated by the concept of a lit,fear,1,im getting feeling classes little intimidated concept lit
i still feel groggy but i have to get up to do the routine for my son,sadness,4,still feel groggy get routine son
i have a feeling my view isnt going to be very popular and thats fine,joy,2,feeling view isnt going popular thats fine
i want to hold this feeling of shocked awe and wonder forever,surprise,5,want hold feeling shocked awe wonder forever
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear,1,heard rumour st year exam results fear might one failures
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,joy,2,want feel valued appreciated know people love arent going anywhere even nature relationship changes
i know there are days in which you feel distracted,anger,0,know days feel distracted
i use it regularly with relaxing music and always feel invigorated afterward,joy,2,use regularly relaxing music always feel invigorated afterward
im feeling distracted i tend to practice with my eyes shut as much as possible,anger,0,im feeling distracted tend practice eyes shut much possible
i feel like its perfect a w see youtube has its influences i even know trends,joy,2,feel like perfect w see youtube influences even know trends
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,fear,1,specifically wanted tango feeling shy maks quite opposite hard get far enough away get good pics lol
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,fear,1,also feel weird sleeping bed two slept
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness,4,wish okay thinking earlier today heres thing cooped amp restless made feel needy
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,joy,2,ive lost weight could fit tiny skirt ive unable wear didnt feel confident
i hope to feel a bit more creative again soon and miss its presence in my life blog,joy,2,hope feel bit creative soon miss presence life blog
i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness,4,fan current president conservative made feel unwelcome
i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,surprise,5,enclose verses could weigh much thinking feeling curious hear odd couple
i begin to feel complacent with my life here,joy,2,begin feel complacent life
i feel vulnerable and alone,fear,1,feel vulnerable alone
i remember feeling inspired and thinking that it was a fine example of parenting,joy,2,remember feeling inspired thinking fine example parenting
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness,4,feel like always one getting punished stupid things feel like chastised behaving
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,joy,2,really feel life perfect right isnt much ask hope everything would stay
im there i simply feel contented,joy,2,im simply feel contented
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,joy,2,im saying cut everyone life feel important find comfort solitude meditation working projects alone
i think im just being stupid feeling nervous,fear,1,think im stupid feeling nervous
i feel honored by it,joy,2,feel honored
i was feeling an act of god at work in my life and it was an amazing feeling,surprise,5,feeling act god work life amazing feeling
i feel im like a bird flying in the air in a very carefree manner,joy,2,feel im like bird flying air carefree manner
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger,0,revise replies mind make sure reply sounds appropriate enough person receive reply feel offended
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,sadness,4,felt sad friend mine died felt something irrevocably gone away
i died would alex and matt feel regretful for not coming to visit,sadness,4,died would alex matt feel regretful coming visit
i feel that educating families and supporting and educationg mamas and papas is key,joy,2,feel educating families supporting educationg mamas papas key
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger,0,im sure lost feel like everyone hostile toward hate feeling
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,sadness,4,feel like boring sewing makes since easy nothing else say fabric usage
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy,2,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly
i feel like i talented young man i don t feel talented then i don t to work with,joy,2,feel like talented young man feel talented work
i feel curious about all this things around,surprise,5,feel curious things around
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,joy,2,feel reason apart others lives im help become something push succeed successful happy
i feel now so uncomfortable with all of them i guess is me,fear,1,feel uncomfortable guess
i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy,2,feel pretty mellow far whatever healing wounding process may getting underway
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear,1,wonder sometimes whether added antagonism misunderstanding many people towards us feel reluctant wholeheartedly support traditional armistice day remembrances
i legs would feel shitty for a few miles but would come around like they always do,sadness,4,legs would feel shitty miles would come around like always
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,fear,1,know unfair reaction run ways explain feel shaken best come right
i seriously feel so blessed for the support that i have at home it s amazing,love,3,seriously feel blessed support home amazing
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,sadness,4,feel abused maligned mostly tired nervous feeling anticipating danger
i am feeling pretty restless right now while typing this,fear,1,feeling pretty restless right typing
i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,love,3,know gosman touristy place go montauk area infrequent visitors area want head harbor feel gentle cawing seagulls lapping water wood pilings relaxing breeze coming water
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness,4,admit hilarious e cards seriously exactly feel stressed feel moment could start hy
i wrote last year when i was feeling more dull and inarticulate than normal,sadness,4,wrote last year feeling dull inarticulate normal
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,0,id kick gear feel irritable motivation ever
i feel as a child innocent feelings illustrating a,joy,2,feel child innocent feelings illustrating
i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,love,3,satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger
i will start to feel resentful,anger,0,start feel resentful
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,sadness,4,spend vacation obligations headaches feeling like emotional blackmailed three places
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,surprise,5,feel herpes coming would surprised point make checkup clinic wednesday
i feel so fucked like everyday of my life,anger,0,feel fucked like everyday life
ive worked really hard all year to try to make each child in the class feel like they are valued,joy,2,ive worked really hard year try make child class feel like valued
i am feeling disheartened with my words as of late,sadness,4,feeling disheartened words late
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger,0,feel like bitchy time upon retrospect think trying shake
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,joy,2,still second guess still terrible time making definitive decisions certain truths know feel assured truths
i don t feel like eggs benedict i ll have something equally delicious,joy,2,feel like eggs benedict something equally delicious
im feeling my way through and trusting myself,joy,2,im feeling way trusting
im feeling inspired by all the summery elements of my favorite past time beach bummin,joy,2,im feeling inspired summery elements favorite past time beach bummin
i can feel that she smiled i love you even more gorgeous,joy,2,feel smiled love even gorgeous
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,sadness,4,continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy,2,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely
i can t say i feel all that sympathetic,love,3,say feel sympathetic
i was feeling over eager and hopped on to the tube to ride the eye of london,joy,2,feeling eager hopped tube ride eye london
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,sadness,4,go online see friend talking another one talking feel ignored feel unloved
